Classifier,Metric,Difference
LR,AUC,0.41 $\pm$ 0.07
LR,F-SCORE,1.80 $\pm$ 0.43
LR,G-MEAN,2.15 $\pm$ 0.42
KNN,AUC,3.24 $\pm$ 0.92
KNN,F-SCORE,13.00 $\pm$ 2.92
KNN,G-MEAN,149.69 $\pm$ 110.16
DT,AUC,3.51 $\pm$ 0.49
DT,F-SCORE,12.60 $\pm$ 2.62
DT,G-MEAN,4.25 $\pm$ 0.63
GBC,AUC,1.65 $\pm$ 0.24
GBC,F-SCORE,7.68 $\pm$ 1.35
GBC,G-MEAN,4.44 $\pm$ 0.54
